,file,map,round,seconds,att_side,vic_side,hp_dmg,bomb_site,wp,award,winner_side,att_pos_x,att_pos_y,vic_pos_x,vic_pos_y,round_type,ct_eq_val,t_eq_val,avg_match_rank
0,003201673717864202280_0171883906.dem,de_dust2,1,133.0582,CounterTerrorist,Terrorist,100,,USP,300,CounterTerrorist,879.0,467.0,698.0,596.0,PISTOL_ROUND,2950,3850,16.0
0,003201673717864202280_0171883906.dem,de_dust2,1,133.0582,CounterTerrorist,Terrorist,100,,USP,300,CounterTerrorist,879.0,467.0,698.0,596.0,PISTOL_ROUND,2950,3850,16.0
1,003201673717864202280_0171883906.dem,de_dust2,1,134.9023,CounterTerrorist,Terrorist,25,,USP,300,CounterTerrorist,282.0,532.0,289.0,511.0,PISTOL_ROUND,2950,3850,16.0
2,003201673717864202280_0171883906.dem,de_dust2,1,135.0586,Terrorist,CounterTerrorist,20,,Glock,300,CounterTerrorist,295.0,509.0,285.0,534.0,PISTOL_ROUND,2950,3850,16.0
3,003201673717864202280_0171883906.dem,de_dust2,1,135.2774,CounterTerrorist,Terrorist,17,,USP,300,CounterTerrorist,291.0,536.0,298.0,503.0,PISTOL_ROUND,2950,3850,16.0
4,003201673717864202280_0171883906.dem,de_dust2,1,135.4024,Terrorist,CounterTerrorist,12,,Glock,300,CounterTerrorist,298.0,501.0,294.0,534.0,PISTOL_ROUND,2950,3850,16.0
5,003201673717864202280_0171883906.dem,de_dust2,1,136.0901,Terrorist,CounterTerrorist,12,,Glock,300,CounterTerrorist,288.0,498.0,311.0,521.0,PISTOL_ROUND,2950,3850,16.0
6,003201673717864202280_0171883906.dem,de_dust2,1,136.2463,Terrorist,CounterTerrorist,12,,Glock,300,CounterTerrorist,292.0,496.0,313.0,518.0,PISTOL_ROUND,2950,3850,16.0
7,003201673717864202280_0171883906.dem,de_dust2,1,136.4026,Terrorist,CounterTerrorist,15,,Glock,300,CounterTerrorist,291.0,496.0,316.0,515.0,PISTOL_ROUND,2950,3850,16.0
8,003201673717864202280_0171883906.dem,de_dust2,1,139.2157,CounterTerrorist,Terrorist,19,,USP,300,CounterTerrorist,114.0,478.0,259.0,513.0,PISTOL_ROUND,2950,3850,16.0
9,003201673717864202280_0171883906.dem,de_dust2,1,139.372,CounterTerrorist,Terrorist,15,,USP,300,CounterTerrorist,118.0,485.0,255.0,514.0,PISTOL_ROUND,2950,3850,16.0
10,003201673717864202280_0171883906.dem,de_dust2,1,139.5595,CounterTerrorist,Terrorist,15,,USP,300,CounterTerrorist,123.0,494.0,250.0,514.0,PISTOL_ROUND,2950,3850,16.0
11,003201673717864202280_0171883906.dem,de_dust2,1,139.7158,CounterTerrorist,Terrorist,9,,USP,300,CounterTerrorist,129.0,501.0,246.0,513.0,PISTOL_ROUND,2950,3850,16.0
12,003201673717864202280_0171883906.dem,de_dust2,1,141.6849,CounterTerrorist,Terrorist,33,,USP,300,CounterTerrorist,379.0,440.0,441.0,459.0,PISTOL_ROUND,2950,3850,16.0
13,003201673717864202280_0171883906.dem,de_dust2,1,142.0288,Terrorist,CounterTerrorist,29,,Glock,300,CounterTerrorist,442.0,451.0,382.0,442.0,PISTOL_ROUND,2950,3850,16.0
14,003201673717864202280_0171883906.dem,de_dust2,1,146.2171,CounterTerrorist,Terrorist,67,,USP,300,CounterTerrorist,381.0,456.0,440.0,458.0,PISTOL_ROUND,2950,3850,16.0
15,003201673717864202280_0171883906.dem,de_dust2,1,152.1871,CounterTerrorist,Terrorist,15,,USP,300,CounterTerrorist,458.0,639.0,575.0,669.0,PISTOL_ROUND,2950,3850,16.0
16,003201673717864202280_0171883906.dem,de_dust2,1,152.5309,CounterTerrorist,Terrorist,16,,USP,300,CounterTerrorist,463.0,645.0,574.0,674.0,PISTOL_ROUND,2950,3850,16.0
17,003201673717864202280_0171883906.dem,de_dust2,1,153.2498,CounterTerrorist,Terrorist,16,,USP,300,CounterTerrorist,464.0,649.0,572.0,678.0,PISTOL_ROUND,2950,3850,16.0
18,003201673717864202280_0171883906.dem,de_dust2,1,153.3123,Terrorist,CounterTerrorist,100,,Glock,300,CounterTerrorist,572.0,678.0,465.0,647.0,PISTOL_ROUND,2950,3850,16.0
19,003201673717864202280_0171883906.dem,de_dust2,1,166.0336,CounterTerrorist,Terrorist,35,,P2000,300,CounterTerrorist,444.0,475.0,511.0,696.0,PISTOL_ROUND,2950,3850,16.0
20,003201673717864202280_0171883906.dem,de_dust2,1,166.3149,CounterTerrorist,Terrorist,29,,P2000,300,CounterTerrorist,447.0,479.0,512.0,689.0,PISTOL_ROUND,2950,3850,16.0
21,003201673717864202280_0171883906.dem,de_dust2,1,167.8465,Terrorist,Terrorist,36,,HE,300,CounterTerrorist,522.0,700.0,522.0,700.0,PISTOL_ROUND,2950,3850,16.0
22,003201673717864202280_0171883906.dem,de_dust2,1,187.8818,Terrorist,CounterTerrorist,11,,Glock,300,CounterTerrorist,519.0,690.0,487.0,610.0,PISTOL_ROUND,2950,3850,16.0
23,003201673717864202280_0171883906.dem,de_dust2,1,188.1944,Terrorist,CounterTerrorist,12,,Glock,300,CounterTerrorist,505.0,693.0,478.0,627.0,PISTOL_ROUND,2950,3850,16.0
24,003201673717864202280_0171883906.dem,de_dust2,1,188.882,Terrorist,CounterTerrorist,12,,Glock,300,CounterTerrorist,500.0,695.0,492.0,628.0,PISTOL_ROUND,2950,3850,16.0
25,003201673717864202280_0171883906.dem,de_dust2,1,189.0383,Terrorist,CounterTerrorist,12,,Glock,300,CounterTerrorist,502.0,695.0,494.0,627.0,PISTOL_ROUND,2950,3850,16.0
26,003201673717864202280_0171883906.dem,de_dust2,1,189.1945,Terrorist,CounterTerrorist,53,,Glock,300,CounterTerrorist,498.0,696.0,491.0,627.0,PISTOL_ROUND,2950,3850,16.0
27,003201673717864202280_0171883906.dem,de_dust2,1,190.5698,CounterTerrorist,Terrorist,53,,Glock,300,CounterTerrorist,446.0,310.0,500.0,680.0,PISTOL_ROUND,2950,3850,16.0
28,003201673717864202280_0171883906.dem,de_dust2,2,222.2325,Terrorist,CounterTerrorist,21,,Tec9,300,Terrorist,498.0,663.0,455.0,517.0,ECO,12400,4700,16.0
29,003201673717864202280_0171883906.dem,de_dust2,2,222.42,Terrorist,CounterTerrorist,41,,Deagle,300,Terrorist,498.0,700.0,453.0,518.0,ECO,12400,4700,16.0
30,003201673717864202280_0171883906.dem,de_dust2,2,222.5138,CounterTerrorist,Terrorist,44,,Deagle,300,Terrorist,453.0,518.0,484.0,663.0,ECO,12400,4700,16.0
31,003201673717864202280_0171883906.dem,de_dust2,2,223.2639,Terrorist,CounterTerrorist,21,,Tec9,300,Terrorist,492.0,662.0,464.0,515.0,ECO,12400,4700,16.0
